Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\15to17_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I find it easier to be myself online than when I am with people face-to-face,d2d,0.987652035,-,2,[520.0],[531.0],0.475,0.501923077,0.023076923,0.444444444,0.531073446,0.024482109
I talk about different things online than I do when speaking to people face-to-face,d2e,5.555168612,-,2,[514.0],[529.0],0.463035019,0.509727626,0.027237354,0.404536862,0.578449905,0.017013233
I talk about private things online which I do not talk about with people face-to-face,d2f,1.883483808,-,2,[514.0],[526.0],0.60311284,0.387159533,0.009727626,0.562737643,0.423954373,0.013307985
I feel safe on the internet,d2a,9.985887641,+,2,[619.0],[596.0],0.491114701,0.481421648,0.027463651,0.476510067,0.458053691,0.065436242
I find other people are kind and helpful on the internet,d2b,1.605717351,-,2,[618.0],[598.0],0.365695793,0.59223301,0.042071197,0.331103679,0.623745819,0.045150502
I know what to do if someone acts online in a way I don't like,d2c,21.17792187,-,2,[518.0],[527.0],0.32046332,0.646718147,0.032818533,0.197343454,0.772296015,0.030360531
How were your social media accounts created?,d12,52.12452222,+,4,[500.0],[519.0],0.304,0.172,0.524,0.473988439,0.134874759,0.391136802
How old were you when you first had your social media account?,d13,169.5902698,-,3,[517.0],[524.0],0.489361702,0.406189555,0.104448743,0.209923664,0.536259542,0.253816794
Facebook/Messenger,d14a,9.281642512,+,2,[515.0],[529.0],0.042718447,0.551456311,0.405825243,0.017013233,0.510396975,0.472589792
Skype,d14b,5.371271246,-,2,[448.0],[471.0],0.825892857,0.127232143,0.046875,0.78343949,0.180467091,0.036093418
Viber,d14c,5.571977803,-,2,[435.0],[468.0],0.894252874,0.071264368,0.034482759,0.858974359,0.115384615,0.025641026
WeChat,d14d,0.410813478,-,2,[434.0],[466.0],0.889400922,0.071428571,0.039170507,0.89055794,0.077253219,0.032188841
Instagram,d14e,11.51576945,-,2,[441.0],[472.0],0.743764172,0.185941043,0.070294785,0.639830508,0.26059322,0.099576271
Twitter,d14f,9.942131249,-,2,[436.0],[471.0],0.793577982,0.151376147,0.055045872,0.702760085,0.222929936,0.074309979
YouTube/Hangout (Google),d14g,0.695383454,-,2,[464.0],[474.0],0.599137931,0.318965517,0.081896552,0.573839662,0.343881857,0.082278481
Minecraft,d15a,18.31211282,+,1,[366.0],[296.0],0.595628415,0.404371585,0,0.753378378,0.246621622,0
Warcraft DOTA,d15b,2.148215231,+,1,[366.0],[294.0],0.833333333,0.166666667,0,0.87414966,0.12585034,0
DOTA 2,d15c,0.58399421,-,1,[366.0],[294.0],0.770491803,0.229508197,0,0.744897959,0.255102041,0
League of Legends,d15d,1.205297453,+,1,[366.0],[295.0],0.672131148,0.327868852,0,0.711864407,0.288135593,0
Counterstrike,d15e,0.105442766,-,1,[366.0],[295.0],0.683060109,0.316939891,0,0.671186441,0.328813559,0
Others,d15f,7.76738034,-,1,[366.0],[296.0],0.568306011,0.431693989,0,0.459459459,0.540540541,0
Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?,d7a,65.89940688,+,14,[492.0],[517.0],0.069105691,0.095528455,0.835365854,0.059961315,0.069632495,0.87040619
More or less; how many are your followers?,d7b,,,14,[407.0],[454.0],0.189189189,0.174447174,0.636363636,0.127753304,0.156387665,0.715859031
More or less; how many do you follow?,d7c,,,14,[419.0],[454.0],0.23627685,0.207637232,0.556085919,0.204845815,0.160792952,0.634361233
Is you [named profile] set to...?,d8,13.72359745,-,3,[506.0],[521.0],0.626482213,0.247035573,0.126482213,0.58925144,0.280230326,0.130518234
A photo that clearly shows your face,d9a,9.382977943,-,2,[514.0],[529.0],0.155642023,0.822957198,0.021400778,0.094517958,0.888468809,0.017013233
Your last name,d9b,1.80557398,-,2,[514.0],[526.0],0.112840467,0.86381323,0.023346304,0.102661597,0.884030418,0.013307985
Your address,d9c,6.560503313,-,2,[512.0],[524.0],0.333984375,0.623046875,0.04296875,0.295801527,0.683206107,0.020992366
Your phone number,d9d,7.268384959,-,2,[509.0],[526.0],0.561886051,0.388998035,0.049115914,0.570342205,0.410646388,0.019011407
Your school,d9e,25.47481222,-,2,[505.0],[527.0],0.348514851,0.615841584,0.035643564,0.229601518,0.75711575,0.013282732
Your correct age,d9f,24.01408433,-,2,[506.0],[530.0],0.391304348,0.57312253,0.035573123,0.269811321,0.71509434,0.01509434
An age that is not your real age,d9g,21.37635784,+,2,[502.0],[528.0],0.615537849,0.34063745,0.043824701,0.740530303,0.244318182,0.015151515
Places you've dined and visited,d9j,8.625933483,-,2,[499.0],[521.0],0.653306613,0.304609218,0.042084168,0.575815739,0.391554702,0.032629559
Pictures showing whole body,d9k,9.66388024,-,2,[506.0],[522.0],0.654150198,0.314229249,0.031620553,0.559386973,0.400383142,0.040229885
How do you usually respond to requests from people to become your ‘friends’ online?,d10,3.749407518,-,3,[503.0],[527.0],0.192842942,0.737574553,0.069582505,0.20113852,0.755218216,0.043643264
Looked for new friends or contacts on the internet,f1a,,,2,[610.0],[593.0],0.785245902,0.208196721,0.006557377,0.777403035,0.215851602,0.006745363
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,2.523096991,+,2,[600.0],[586.0],0.893333333,0.09,0.016666667,0.916382253,0.075085324,0.008532423
Added people to my friends or contacts I have never met face-to-face,f1c,0.491800413,+,2,[609.0],[587.0],0.80952381,0.18226601,0.008210181,0.812606474,0.175468484,0.011925043
Pretended to be a different kind of person online from who I really am,f1d,3.196045389,+,2,[596.0],[579.0],0.899328859,0.080536913,0.020134228,0.920552677,0.070811744,0.008635579
Sent a photo or video of myself to someone I have never met face-to-face,f1e,4.511427241,+,2,[599.0],[581.0],0.894824708,0.085141903,0.020033389,0.925989673,0.065404475,0.008605852
Post my current location and those I had been to,f1f,3.577304165,-,2,[596.0],[578.0],0.894295302,0.087248322,0.018456376,0.866782007,0.119377163,0.01384083
Post my new stuff and clothes,f1g,0.014316797,+,2,[603.0],[582.0],0.890547264,0.096185738,0.013266998,0.891752577,0.094501718,0.013745704
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,8.4950893,-,2,[604.0],[586.0],0.870860927,0.112582781,0.016556291,0.820819113,0.16894198,0.010238908
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,1.439144594,-,2,[602.0],[579.0],0.930232558,0.053156146,0.016611296,0.920552677,0.067357513,0.01208981
Engage in chat activities with a person whom I only met on internet,f1j,3.4171595,-,2,[604.0],[584.0],0.82781457,0.162251656,0.009933775,0.79109589,0.202054795,0.006849315
Do video calls with a person whom I only met on internet,f1k,1.213315881,+,2,[593.0],[578.0],0.902192243,0.084317032,0.013490725,0.920415225,0.069204152,0.010380623
Receive offers or gifts online,f1l,0.614557968,+,2,[592.0],[573.0],0.915540541,0.070945946,0.013513514,0.921465969,0.069808028,0.008726003
Have you EVER had contact on the internet with someone you have not met face-to-face before?,f2,4.032588379,-,2,[427.0],[458.0],0.68852459,0.274004684,0.037470726,0.628820961,0.336244541,0.034934498
In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?,f3,0.243175445,-,2,[608.0],[588.0],0.827302632,0.149671053,0.023026316,0.818027211,0.159863946,0.022108844
If you met anyone face-to-face that you first got to know on the internet; how did you feel about it?,f4,,,3,[89.0],[92.0],0.629213483,0.235955056,0.134831461,0.608695652,0.119565217,0.27173913
Thinking about the LAST TIME you were bothered by meeting someone in this way; how old was the person you actually met?,f5,,,2,[7.0],[22.0],0.857142857,0,0.142857143,0.863636364,0.045454545,0.090909091
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,,,2,[87.0],[90.0],0.310344828,0.67816092,0.011494253,0.4,0.588888889,0.011111111
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,,,2,[87.0],[86.0],0.471264368,0.505747126,0.022988506,0.61627907,0.360465116,0.023255814
I've met with a foreigner (different nationality),f6c,,,2,[89.0],[87.0],0.662921348,0.325842697,0.011235955,0.793103448,0.206896552,0
I've personally met with an older person,f6d,,,2,[88.0],[91.0],0.454545455,0.511363636,0.034090909,0.604395604,0.362637363,0.032967033
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,,,2,[88.0],[90.0],0.534090909,0.465909091,0,0.533333333,0.444444444,0.022222222
I've met with another woman like myself whom i just got acquainted with on internet,f6f,1.792146206,+,1,[34.0],[36.0],0.264705882,0.735294118,0,0.416666667,0.583333333,0
I've met with another man like myself whom i just got acquainted with on internet,f6g,,,2,[53.0],[53.0],0.528301887,0.433962264,0.037735849,0.603773585,0.396226415,0
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,,,2,[84.0],[88.0],0.654761905,0.321428571,0.023809524,0.784090909,0.193181818,0.022727273
In the PAST YEAR; how many people have you gone to a meeting with face-to-face that you had previously only met on the internet?,f8,,,2,[87.0],[91.0],0.172413793,0.816091954,0.011494253,0.098901099,0.868131868,0.032967033
In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?,f11,5.960371395,-,2,[590.0],[577.0],0.789830508,0.174576271,0.03559322,0.741767764,0.2305026,0.027729636
In the PAST YEAR; how often did this happen?,f12,1.194524433,+,2,[103.0],[132.0],0.436893204,0.514563107,0.048543689,0.507575758,0.454545455,0.037878788
Thinking now about the LAST TIME this happened to you; how upset were you about what happened?,f13,0.673891295,-,2,[102.0],[133.0],0.411764706,0.519607843,0.068627451,0.406015038,0.54887218,0.045112782
My mother or father (or step/foster mother or father),f14a,0.413831809,+,1,[99.0],[134.0],0.646464646,0.353535354,0,0.686567164,0.313432836,0
My brother or sister (orstep/foster/half siblings),f14b,0.495426526,+,1,[99.0],[134.0],0.696969697,0.303030303,0,0.73880597,0.26119403,0
Cousin,f14j,0.586086074,+,1,[99.0],[134.0],0.646464646,0.353535354,0,0.694029851,0.305970149,0
Aunt/Uncle,f14k,1.779691016,+,1,[99.0],[134.0],0.818181818,0.181818182,0,0.880597015,0.119402985,0
Grandfather/Grandmother,f14l,5.521159094,+,1,[99.0],[134.0],0.858585859,0.141414141,0,0.947761194,0.052238806,0
Nanny,f14m,,,1,[99.0],[134.0],0.97979798,0.02020202,0,1,0,0
A friend around my age,f14c,7.461259035,-,1,[99.0],[134.0],0.545454545,0.454545455,0,0.365671642,0.634328358,0
Classmate,f14n,1.851017555,-,1,[99.0],[134.0],0.676767677,0.323232323,0,0.589552239,0.410447761,0
Boyfriend/Girlfriend,f14o,6.441592632,-,1,[99.0],[134.0],0.939393939,0.060606061,0,0.828358209,0.171641791,0
A teacher,f14d,0.038209408,-,1,[99.0],[134.0],0.888888889,0.111111111,0,0.880597015,0.119402985,0
Someone whose job it is to help children,f14e,,,1,[99.0],[134.0],0.97979798,0.02020202,0,0.970149254,0.029850746,0
Godfather/Godmother,f14p,,,1,[99.0],[134.0],0.939393939,0.060606061,0,0.985074627,0.014925373,0
Priest/Pastor/Nun,f14q,,,1,[99.0],[134.0],0.96969697,0.03030303,0,1,0,0
Neighbor,f14r,0.623513766,+,1,[99.0],[134.0],0.828282828,0.171717172,0,0.865671642,0.134328358,0
Another adult I trust,f14f,1.778564764,-,1,[99.0],[134.0],0.909090909,0.090909091,0,0.850746269,0.149253731,0
Someone else,f14g,0.011174598,+,1,[99.0],[134.0],0.929292929,0.070707071,0,0.932835821,0.067164179,0
I didn't talk to anyone,f14h,0.279787511,-,1,[99.0],[134.0],0.949494949,0.050505051,0,0.932835821,0.067164179,0
Prefer not to say,f14i,5.472303487,+,1,[99.0],[134.0],0.909090909,0.090909091,0,0.97761194,0.02238806,0
The last time something happened online that bothered or upset you in some way; how long did you feel like that for?,f15,,,2,[95.0],[132.0],0.442105263,0.505263158,0.052631579,0.507575758,0.484848485,0.007575758
I ignored the problem or hoped the problem would go away by itself,f16a,2.208525201,+,1,[95.0],[126.0],0.368421053,0.631578947,0,0.468253968,0.531746032,0
I closed the window or app,f16b,0.158821505,+,1,[95.0],[126.0],0.821052632,0.178947368,0,0.841269841,0.158730159,0
I felt a bit guilty about what went wrong,f16c,0.535437691,-,1,[95.0],[126.0],0.810526316,0.189473684,0,0.76984127,0.23015873,0
I tried to get the other person to leave me alone,f16d,0.179165237,-,1,[95.0],[126.0],0.884210526,0.115789474,0,0.865079365,0.134920635,0
I tried to get back at the other person,f16e,,,1,[95.0],[126.0],0.957894737,0.042105263,0,1,0,0
I stopped using the internet for a while,f16f,0.013464807,-,1,[95.0],[126.0],0.8,0.2,0,0.793650794,0.206349206,0
I deleted any messages from the other person,f16g,0.753107118,-,1,[95.0],[126.0],0.810526316,0.189473684,0,0.761904762,0.238095238,0
I changed my privacy/ contact settings,f16h,0.320208285,-,1,[95.0],[126.0],0.926315789,0.073684211,0,0.904761905,0.095238095,0
I blocked the person from contacting me,f16i,1.118931107,-,1,[95.0],[126.0],0.842105263,0.157894737,0,0.785714286,0.214285714,0
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,0.226516868,-,1,[95.0],[126.0],0.915789474,0.084210526,0,0.896825397,0.103174603,0
Other actions taken,f16k,,,1,[95.0],[126.0],0.936842105,0.063157895,0,0.968253968,0.031746032,0
In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?,f18,3.36692582,-,2,[618.0],[596.0],0.736245955,0.233009709,0.030744337,0.689597315,0.270134228,0.040268456
In the PAST YEAR; how often did this happen?,f19,7.152691473,+,2,[141.0],[161.0],0.468085106,0.496453901,0.035460993,0.590062112,0.347826087,0.062111801
In person face-to-face (by someone with you in the same place),f20a,,,2,[137.0],[163.0],0.605839416,0.379562044,0.01459854,0.515337423,0.460122699,0.024539877
Via a mobile phone or online device (computer;tablet; etc.),f20b,0.748888601,-,2,[141.0],[160.0],0.390070922,0.567375887,0.042553191,0.3875,0.5875,0.025
By mobile phone calls,f21a,2.439377365,-,1,[77.0],[90.0],0.805194805,0.194805195,0,0.7,0.3,0
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,10.07623259,-,1,[77.0],[90.0],0.74025974,0.25974026,0,0.5,0.5,0
On a social networking site (e.g. Facebook; Twitter etc.),f21c,3.802845777,-,1,[77.0],[90.0],0.493506494,0.506493506,0,0.344444444,0.655555556,0
On a media sharing platform (YouTube; Instagram; Flickr),f21d,0.732529111,+,1,[77.0],[90.0],0.883116883,0.116883117,0,0.922222222,0.077777778,0
By instant messaging (MSN; What’s app; Skype etc.),f21e,,,1,[77.0],[90.0],0.935064935,0.064935065,0,0.966666667,0.033333333,0
In a chatroom,f21f,0.001562779,+,1,[38.0],[56.0],0.710526316,0.289473684,0,0.714285714,0.285714286,0
In an online game,f21g,0.156153115,-,1,[43.0],[41.0],0.860465116,0.139534884,0,0.829268293,0.170731707,0
Some other way,f21h,1.20E-05,+,1,[77.0],[90.0],0.922077922,0.077922078,0,0.922222222,0.077777778,0
Prefer not to say,f21i,,,1,[77.0],[90.0],0.974025974,0.025974026,0,1,0,0
Nasty or hurtful messages were sent to me,f22a,,,2,[140.0],[158.0],0.364285714,0.607142857,0.028571429,0.35443038,0.639240506,0.006329114
Nasty or hurtful messages were passed around or posted where others could see,f22b,,,2,[135.0],[158.0],0.718518519,0.266666667,0.014814815,0.658227848,0.32278481,0.018987342
I was left out or excluded from a group or activity on the internet,f22c,5.316720947,+,2,[135.0],[157.0],0.614814815,0.325925926,0.059259259,0.732484076,0.242038217,0.025477707
I was threatened on the internet,f22d,,,2,[132.0],[161.0],0.674242424,0.295454545,0.03030303,0.695652174,0.298136646,0.00621118
Other nasty or hurtful things happened to me on the internet,f22e,,,2,[135.0],[158.0],0.577777778,0.377777778,0.044444444,0.607594937,0.373417722,0.018987342
Thinking of the last time someone treated you in a hurtful or nasty way; how did you feel?,f23,5.260076754,-,2,[130.0],[155.0],0.330769231,0.584615385,0.084615385,0.24516129,0.709677419,0.04516129
In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?,f24,1.847279626,-,2,[599.0],[591.0],0.813021703,0.160267112,0.026711185,0.788494078,0.172588832,0.03891709
In the PAST YEAR; how often have you treated someone in this way?,f25,,,2,[99.0],[103.0],0.565656566,0.383838384,0.050505051,0.54368932,0.417475728,0.038834951
In person face-to-face (a person that is together with you in the same place at the same time),f26a,,,2,[100.0],[101.0],0.53,0.43,0.04,0.495049505,0.495049505,0.00990099
Via a mobile phone or online device (computer; tablet; etc.),f26b,,,2,[95.0],[97.0],0.452631579,0.505263158,0.042105263,0.432989691,0.546391753,0.020618557
By mobile phone calls,f27a,2.00995423,-,1,[46.0],[51.0],0.891304348,0.108695652,0,0.784313725,0.215686275,0
By messages sent by the phone (SMS/Text or MMS),f27b,1.583227625,-,1,[46.0],[51.0],0.673913043,0.326086957,0,0.549019608,0.450980392,0
On a social networking site (e.g.; Facebook; Twitter),f27c,1.070488135,+,1,[46.0],[51.0],0.347826087,0.652173913,0,0.450980392,0.549019608,0
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,,,1,[46.0],[51.0],0.934782609,0.065217391,0,0.980392157,0.019607843,0
On a media sharing platform (YouTube; Instagram; Flickr),f27e,,,1,[46.0],[51.0],0.956521739,0.043478261,0,0.980392157,0.019607843,0
In a chatroom,f27f,0.682043651,+,1,[28.0],[27.0],0.678571429,0.321428571,0,0.777777778,0.222222222,0
In an online game,f27g,2.496259985,+,1,[34.0],[27.0],0.676470588,0.323529412,0,0.851851852,0.148148148,0
Some other way,f27h,,,1,[46.0],[51.0],0.934782609,0.065217391,0,0.901960784,0.098039216,0
Prefer not to say,f27i,,,1,[46.0],[51.0],1,0,0,0.960784314,0.039215686,0
In the PAST YEAR; have you EVER SEEN any sexual images?,f28,46.38026867,-,2,[591.0],[579.0],0.710659898,0.255499154,0.033840948,0.523316062,0.443868739,0.032815199
If you have seen images of this kind; how did you feel about what you saw?,f29,2.602766771,+,3,[153.0],[255.0],0.111111111,0.169934641,0.718954248,0.070588235,0.149019608,0.780392157
In a magazine or book,f31a,3.833280574,+,2,[154.0],[264.0],0.590909091,0.38961039,0.019480519,0.575757576,0.363636364,0.060606061
On television; film,f31b,8.719238591,-,2,[153.0],[262.0],0.385620915,0.60130719,0.013071895,0.255725191,0.709923664,0.034351145
Via a mobile phone; computer; tablet or anyother online device,f31c,0.334514138,-,2,[153.0],[260.0],0.254901961,0.718954248,0.026143791,0.238461538,0.726923077,0.034615385
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,0.614132137,+,1,[94.0],[171.0],0.446808511,0.553191489,0,0.497076023,0.502923977,0
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,0.247958097,-,1,[64.0],[88.0],0.859375,0.140625,0,0.829545455,0.170454545,0
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,3.607414004,-,1,[58.0],[94.0],0.327586207,0.672413793,0,0.191489362,0.808510638,0
In a chatroom,f32g,1.742822216,-,1,[108.0],[186.0],0.916666667,0.083333333,0,0.865591398,0.134408602,0
In an online game,f32h,1.113037634,+,1,[108.0],[186.0],0.935185185,0.064814815,0,0.962365591,0.037634409,0
On an adult/X-rated website,f32i,0.381172611,+,1,[108.0],[186.0],0.898148148,0.101851852,0,0.919354839,0.080645161,0
By popups on the internet (unrequested windows that appear during web surfing),f32j,0.884641711,-,1,[108.0],[186.0],0.916666667,0.083333333,0,0.88172043,0.11827957,0
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,,,1,[108.0],[186.0],0.981481481,0.018518519,0,0.978494624,0.021505376,0
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,0.689415604,-,1,[108.0],[186.0],0.962962963,0.037037037,0,0.940860215,0.059139785,0
By Bluetooth,f32m,,,1,[108.0],[186.0],0.953703704,0.046296296,0,0.956989247,0.043010753,0
In an advert,f32n,1.457173889,-,1,[108.0],[186.0],0.925925926,0.074074074,0,0.88172043,0.11827957,0
Prefer not to say,f32o,,,1,[108.0],[186.0],0.990740741,0.009259259,0,0.962365591,0.037634409,0
A sexual image or video of someone naked,f33a,8.854006133,+,2,[107.0],[187.0],0.224299065,0.76635514,0.009345794,0.326203209,0.614973262,0.058823529
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,0.721550882,-,2,[107.0],[187.0],0.327102804,0.607476636,0.065420561,0.336898396,0.620320856,0.042780749
An image or video that shows sexual acts or people having sex,f33c,4.156972202,-,2,[105.0],[187.0],0.533333333,0.447619048,0.019047619,0.459893048,0.470588235,0.069518717
An image or video that shows sexual acts in a violent way,f33d,2.982376411,-,2,[107.0],[185.0],0.710280374,0.261682243,0.028037383,0.616216216,0.32972973,0.054054054
Something else sexual or embarrassing,f33e,,,2,[107.0],[188.0],0.345794393,0.644859813,0.009345794,0.324468085,0.654255319,0.021276596
In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?,f34,15.36848202,-,2,[588.0],[581.0],0.833333333,0.144557823,0.022108844,0.74010327,0.230636833,0.029259897
If you have received any sexual messages; how did you feel about what you saw?,f35,8.585762682,+,3,[83.0],[132.0],0.156626506,0.192771084,0.65060241,0.075757576,0.106060606,0.818181818
By mobile phone calls,f37a,,,2,[86.0],[133.0],0.73255814,0.23255814,0.034883721,0.721804511,0.248120301,0.030075188
By text messages sent to me on my phone (SMS/text or MMS),f37b,,,2,[86.0],[136.0],0.61627907,0.372093023,0.011627907,0.683823529,0.308823529,0.007352941
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,,,2,[85.0],[135.0],0.258823529,0.694117647,0.047058824,0.2,0.77037037,0.02962963
On a media sharing platform (YouTube; Instagram; Flickr),f37d,,,2,[86.0],[135.0],0.627906977,0.348837209,0.023255814,0.718518519,0.259259259,0.022222222
By IM (MSN; WhatsApp; Skype; etc.),f37e,,,2,[85.0],[132.0],0.811764706,0.164705882,0.023529412,0.803030303,0.174242424,0.022727273
In a chatroom (video chat),f37f,,,2,[85.0],[133.0],0.682352941,0.294117647,0.023529412,0.714285714,0.255639098,0.030075188
In an online game,f37g,,,2,[86.0],[132.0],0.720930233,0.26744186,0.011627907,0.833333333,0.136363636,0.03030303
In a gaming community (also on the Xbox and other game consoles),f37h,,,2,[82.0],[132.0],0.804878049,0.182926829,0.012195122,0.931818182,0.053030303,0.015151515
By 'pop up' (something appears by accident),f37i,2.161418492,+,2,[84.0],[132.0],0.55952381,0.380952381,0.05952381,0.659090909,0.295454545,0.045454545
In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.,f38,3.938799805,+,2,[583.0],[584.0],0.910806175,0.073756432,0.015437393,0.919520548,0.053082192,0.02739726
In the PAST YEAR; how often have you sent or posted sexual messages?,f39,3.54266746,+,2,[43.0],[32.0],0.325581395,0.558139535,0.11627907,0.3125,0.40625,0.28125
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,,,2,[43.0],[31.0],0.534883721,0.441860465,0.023255814,0.677419355,0.290322581,0.032258065
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,,,2,[44.0],[31.0],0.568181818,0.363636364,0.068181818,0.709677419,0.258064516,0.032258065
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,,,2,[43.0],[31.0],0.651162791,0.255813953,0.093023256,0.677419355,0.258064516,0.064516129
Ways of physically harming or hurting themselves,f41a,1.871435923,-,2,[583.0],[578.0],0.833619211,0.140651801,0.025728988,0.811418685,0.167820069,0.020761246
Ways of committing suicide,f41b,,,1,[2.0],[1.0],1,0,0,0,1,0
Ways to be very thin (such as being anorexic or bulimic),f41c,2.951369801,-,2,[570.0],[571.0],0.849122807,0.122807018,0.028070175,0.812609457,0.157618214,0.029772329
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,9.18778412,-,2,[569.0],[573.0],0.864674868,0.114235501,0.021089631,0.797556719,0.172774869,0.029668412
Their experiences of taking drugs,f41e,2.855166852,-,2,[579.0],[578.0],0.858376511,0.113989637,0.027633851,0.828719723,0.147058824,0.024221453
Gory or violent images,f41f,6.430707598,-,2,[572.0],[576.0],0.769230769,0.22027972,0.01048951,0.713541667,0.262152778,0.024305556
Ways of courtship,f41g,38.52956381,-,2,[578.0],[576.0],0.711072664,0.278546713,0.010380623,0.541666667,0.421875,0.036458333
Ways how to find a relationship,f41h,3.395365153,-,2,[572.0],[574.0],0.903846154,0.08041958,0.015734266,0.869337979,0.109756098,0.020905923
Ways to join in gambling,f41i,2.171582588,+,2,[573.0],[574.0],0.910994764,0.071553229,0.017452007,0.925087108,0.052264808,0.022648084
About cheating,f41l,4.491379877,-,2,[578.0],[577.0],0.839100346,0.148788927,0.012110727,0.805892548,0.166377816,0.027729636
About drinking alcohol,f41n,6.561513161,-,2,[580.0],[577.0],0.881034483,0.110344828,0.00862069,0.83882149,0.136915078,0.024263432
About smoking,f41o,4.862238168,-,2,[581.0],[577.0],0.874354561,0.117039587,0.008605852,0.833622184,0.147313692,0.019064125
About bullying,f41p,12.76742931,-,2,[581.0],[578.0],0.745266781,0.247848537,0.006884682,0.666089965,0.307958478,0.025951557
Somebody used my personal information in a way I didn't like,f43a,3.968666163,-,2,[583.0],[575.0],0.838765009,0.138936535,0.022298456,0.808695652,0.149565217,0.04173913
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,10.08005442,-,2,[587.0],[573.0],0.797274276,0.190800681,0.011925043,0.720767888,0.254799302,0.02443281
I lost money by being cheated on the internet,f43c,10.54703356,+,2,[578.0],[572.0],0.916955017,0.077854671,0.005190311,0.924825175,0.050699301,0.024475524
Somebody used my password to access my information or to pretend to be me,f43d,1.746156257,-,2,[577.0],[572.0],0.864818024,0.126516464,0.008665511,0.854895105,0.127622378,0.017482517
Somebody created a page or image about me that was hostile or hurtful,f43e,3.911932511,+,2,[576.0],[570.0],0.935763889,0.059027778,0.005208333,0.926315789,0.056140351,0.01754386
I spent too much money on online games or in-app purchases,f43f,2.078316502,-,2,[379.0],[332.0],0.828496042,0.158311346,0.013192612,0.786144578,0.195783133,0.018072289
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,,,2,[375.0],[327.0],0.858666667,0.136,0.005333333,0.810397554,0.168195719,0.021406728
Someone found out where I was because they tracked my phone or device,f43h,2.460791384,-,2,[580.0],[562.0],0.931034483,0.063793103,0.005172414,0.921708185,0.06405694,0.014234875
I have gone without eating or sleeping because of the time I spent on the internet,f45a,,,2,[589.0],[573.0],0.775891341,0.21901528,0.005093379,0.671902269,0.322862129,0.005235602
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,2.44918503,-,2,[585.0],[579.0],0.736752137,0.251282051,0.011965812,0.701208981,0.29015544,0.008635579
My grades have dropped because of the time I spent on the internet,f45c,,,2,[589.0],[577.0],0.801358234,0.188455008,0.010186757,0.781629116,0.213171577,0.005199307
I have tried unsuccessfully to spend less time on the internet,f45d,3.182434179,-,2,[583.0],[573.0],0.686106346,0.296740995,0.017152659,0.638743455,0.336823735,0.02443281
I think the amount of time I spend on the internet causes problems for me,f45e,0.687759448,-,2,[581.0],[569.0],0.666092943,0.320137694,0.013769363,0.643233743,0.340949033,0.015817223
I feel I have to check my device (e.g. phone or computer) to see if anything new has just happened,f45f,17.90881448,-,2,[579.0],[568.0],0.621761658,0.369602763,0.008635579,0.5,0.482394366,0.017605634
