Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
Helped me in the past when something has bothered me on the internet,j5h,9.2092125754898078,-,1
In general; talked to me about what I would do if something on the internet ever bothered me,j5i,10.643939539468169,-,1
My friends really try to help me,k1a,6.8061867759798398,-,1
I can count on my friends when things go wrong,k1b,14.797953165184788,-,1
I can talk about my problems with my friends,k1c,19.188117545627968,-,1
I get worried when I ﬁnd out my friends are having fun without me ,k1d,3.490949952746031,-,1
Suggested ways to use the internet safely,k2a,18.956881261375436,-,1
Encouraged me to explore and learn things on the internet,k2b,15.359470719043948,-,1
Helped me when I found something difficult to do on the internet,k2c,21.908093699865454,-,1
Explained why some websites are good or bad,k2d,18.781523384522952,-,1
Suggested ways to behave towards other people on the internet,k2e,10.666705409922923,-,1
Helped me in the past when something has bothered me on the internet,k2f,16.939526609697474,-,1
null,k3,25.524211050777428,-,1
I feel safe in the area where I live,k4a,2.3482476919693172,-,1
It is safe for younger children to play outside during the day,k4b,1.2999621637796706,-,1
You can trust people around here,k4c,0.23251255002871127,+,1
null,a14,3.0645452294474915,-,1
null,a15,0.20449090155175378,+,1
null,a16,0.056232940786639589,+,1
null,a17,0.35535696023843766,-,1
null,a17a,1.9007604107308229,-,1
null,a18,1.2108165291408,-,1
null,a19,4.6329838404490475,+,1
I get very angry and often lose my temper,a20a,4.2106427701931111,-,1
I usually do as I am told,a20b,0.33097793953409121,-,1
I fight a lot; I can make other people do what I want,a20c,3.2980473319039572,+,1
I am often accused of lying or cheating,a20d,1.4896578935920675,+,1
I take things that are not mine from home; school or elsewhere,a20e,0.37755921456384045,+,1
I worry a lot,a20f,6.6066719174250892,-,1
I am nervous in certain new situations; I easily lose confidence,a20g,0.080835972773616038,-,1
I get a lot of headaches; stomach-aches or sickness,a20h,4.3595809020076075,+,1
I am often unhappy; sad or tearful,a20i,0.080757069342933682,+,1
I have many fears and I am easily scared,a20j,2.5151635694307157,+,1
I am restless; I cannot stay still for long,a20k,0.066141024239781007,+,1
I finish the work I'm doing. My attention is good,a20l,0.50508657396061862,-,1
I am easily distracted and find it difficult to concentrate,a20n,1.1126623431407561,-,1
I think before I do things,a20o,17.308171809748082,-,1
Other people my age generally like me,a20p,0.15886606192691041,-,1
Other children or young people pick on me,a20q,10.862842063311941,+,1
I am usually on my own; I generally play alone or keep to myself,a20r,0.56617092201803443,+,1
I have at least one good friend,a20s,1.2810098103314072,-,1
I get on better with adults than with people my own age,a20t,0.66139500276714158,-,1
I am helpful if someone is hurt; upset or feeling ill,a20u,0.75573897201209761,-,1
I try to be nice to other people. I care about their feelings,a20v,4.1691569584126809,-,1
I often volunteer to help others (e.g.; parents; carers; teachers; children),a20w,0.88141474376054574,-,1
I usually share with others (food; games; pens etc.),a20x,0.6671154472101124,-,1
Other children are treated better than me,a21a,0.026767439382089135,-,1
People seem to think I am not smart,a21b,5.5309052688745739,+,1
People seem to think they’re better than me,a21c,0.025201459054976463,-,1
I get called names or insulted by other children,a21d,3.4306709003290949,+,1
Because of where my family is from,a22a,0.078447104296775982,-,1
Because of my skin colour,a22b,0.16869289201493581,+,1
Because of my religion,a22c,0.00017083793399584642,+,1
Because of my height or weight,a22d,0.23059888199688711,+,1
Because of a disability,a22e,0.75125147965741801,+,1
Because of not having enough money,a22f,0.19323908538818163,-,1
Because of my sexual orientation,a22g,0.35622280099937598,-,1
Because of how I look or behave,a22h,2.9923810156608703,-,1
null,a22j,0.3430967578042004,-,1
Because of my opinions or beliefs,a22i,4.1946904098921918,-,1
Because my parents are not around (i.e.; OFW),a22k,3.6037605199778238,-,1
Because of the ethnic group I belong to,a22l,0.030018350359486752,+,1
Due to conflict / war in our area,a22m,2.1340545562338207,-,1
Because I am not studying (i.e.; out-of-school),a22n,0.93770202777484279,-,1
Because I do not have a permanent residence / house,a22o,0.27342944130624447,+,1
null,a23,0.18429005297110801,-,1
I do dangerous things for fun,a24a,0.096567700385933958,+,1
I do exciting things; even if they are dangerous,a24b,0.37054041925923775,-,1
Had so much alcohol that I got really drunk,a25a,3.4591453122933369,-,1
Missed school lessons without my parent(s)/carer(s) knowing,a25b,6.833298393339887,-,1
Had sexual intercourse,a25c,0.54546741883776229,+,1
Been in trouble with my teachers for bad behaviour,a25d,0.065422302623855927,+,1
Been in trouble with the police,a25e,0.14886995143614828,+,1
Met personally with someone whom I met online (i.e.; eyeball),a25f,2.8325254289411705,-,1
I can solve difficult problems if I try hard enough,a26a,3.0671783442288234,-,1
If someone opposes me; I can find ways to get what I want,a26b,4.9544883299745841,-,1
It's easy for me to stick to my aims and achieve my goals,a26c,5.5226827784501697,-,1
I am confident that I can deal with unexpected problems,a26d,5.9378297904154902,-,1
I can stay calm when things get difficult because I am good at coping,a26g,4.3443872846987004,-,1
null,a27,0.26155324635503802,+,1
null,a28,0.66412996832831694,-,1
When I use the internet; I learn about different things that I could study; do or become what I want to be as productive as possible.,a29a,12.738890229264523,-,1
When I use the internet; I feel I want to achieve more in life.,a29b,5.6968440710617294,-,1
I was sent a message that I did not want with advertisements for or links to X-rated websites [use local term for 'X-rated'],g1a,1.7836187486485677,-,1
I opened a message or a link in a message that showed pictures of naked people or of people having sex that I did not want,g1b,0.73967546773495219,-,1
I have seen or received a sexual message; image or video about someone else that I did not want,g1c,10.128462277765076,-,1
I have been asked for sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want to answer such questions,g2a,6.9607711437695112,-,1
I have been asked to talk about sexual acts with someone on the internet when I did not want to,g2b,5.6373936324583482,-,1
I have been asked by someone on the internet to do something sexual when I did not want to,g2c,2.1147768225666823,-,1
I have been asked on the internet for a photo or video showing my private parts [translate as appropriate] when I did not want to,g2d,5.8743795668608971,-,1
I have sent sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want,g3a,0.49022093748147549,-,1
I have talked about sexual acts with someone on the internet when I did not want to,g3b,0.52116762442010744,-,1
I have done something sexual on the internet when I did not want to,g3c,1.3660001629070599,-,1
I have sent someone a photo or video showing my private parts when I did not want to [translate as appropriate],g3d,0.010409920381818344,-,1
null,g4,7.2929470136574004,+,1
null,g5,0.024093634027976055,+,1
Brother (over 18),g9a,1.8361047957379719,+,1
Sister (over 18),g9b,0.11114073165474053,+,1
A younger brother or sister,g9c,0.019969085785775314,+,1
Father or step-/foster father,g9d,0.46046772022195992,+,1
Mother or step-/foster mother,g9e,1.4285502124027798,+,1
Other adult relatives; such as aunts; uncles; or grandparents,g9f,0.5399019048261634,+,1
Friend or acquaintance,g9g,2.5203322695988168,-,1
Teacher/ educator,g9h,0.24026354809866146,+,1
Other adult you trust e.g. coach; neighbour; doctor; or babysitter,g9j,1.2577085065890068,-,1
Other (specify),g9i,0.01301842859982397,-,1
I didn’t tell anyone about it,g9k,0.054696866886121104,-,1
Prefer not to say,g9l,2.7618951181917395,-,1
